company name,sector,year,s1,s2,s3,revenue__mil_$,production_volume_mil_units
Dominion Energy,Utilities,2019,177811.2,98890.82,13805.428,6243,263414
Dominion Energy,Utilities,2021,163586.304,94935.1872,12977.10232,6260,77453
Dominion Energy,Utilities,2022,161950.441,88289.7241,12847.3313,6276,1927555
National Grid,Utilities,2016,219000,75000,18000,6297,1951158
National Grid,Utilities,2017,197100,74250,17100,6313,53864
National Grid,Utilities,2018,193158,67567.5,15390,6343,266048
National Grid,Utilities,2019,191226.42,62837.775,15082.2,6359,118861
National Grid,Utilities,2021,175928.3064,57810.753,14177.268,6379,157728
National Grid,Utilities,2022,172409.7403,54920.21535,13326.63192,6411,294823
NextEra Energy,Utilities,2016,181000,54000,17000,6466,42779
NextEra Energy,Utilities,2017,173760,51840,16150,6489,152186
NextEra Energy,Utilities,2018,159859.2,49766.4,15019.5,6499,139716
NextEra Energy,Utilities,2019,153464.832,44789.76,13817.94,6510,133625
NextEra Energy,Utilities,2021,144256.9421,44341.8624,12988.8636,6531,2203623
NextEra Energy,Utilities,2022,141371.8032,42124.76928,12339.42042,6547,40994
Southern Company,Utilities,2016,128000,117000,18000,6554,57857
Southern Company,Utilities,2017,120320,108810,16560,6554,39471
Southern Company,Utilities,2018,117913.6,102281.4,15732,6581,136524
Southern Company,Utilities,2019,113197.056,92053.26,14788.08,6601,133376
Southern Company,Utilities,2021,110933.1149,88371.1296,13752.9144,6611,54403
Southern Company,Utilities,2022,107605.1214,84836.28442,12515.1521,6691,740463
American Water,Utilities,2016,250000,90000,17000,6695,193984
American Water,Utilities,2017,230000,81900,16830,6699,115095
American Water,Utilities,2018,216200,78624,15651.9,6704,78547
American Water,Utilities,2019,198904,71547.84,15025.824,6726,29074
American Water,Utilities,2021,179013.6,70832.3616,14124.27456,6731,896552
American Water,Utilities,2022,171853.056,67999.06714,13276.81809,6743,43997
Sempra Energy,Utilities,2016,120000,113000,17000,6755,20777
Sempra Energy,Utilities,2017,112800,102830,15300,6784,17967
Sempra Energy,Utilities,2018,111672,96660.2,14841,6840,47528
Sempra Energy,Utilities,2019,104971.68,92793.792,13950.54,6845,33467
Sempra Energy,Utilities,2021,99723.096,88154.1024,13392.5184,6863,98880
Sempra Energy,Utilities,2022,94736.9412,84627.9383,12856.81766,6892,992968
E.ON SE,Utilities,2016,228000,102000,18000,6895,895429
E.ON SE,Utilities,2017,216600,95880,16740,6915,78453
E.ON SE,Utilities,2018,201438,93962.4,15233.4,6941,97793
E.ON SE,Utilities,2019,193380.48,85505.784,14928.732,6964,167489
E.ON SE,Utilities,2021,189512.8704,83795.66832,14779.44468,6967,45058
E.ON SE,Utilities,2022,174351.8408,82957.71164,13301.50021,7070,525064
Veolia Environnement,Utilities,2016,198000,102000,17000,7105,198321
Veolia Environnement,Utilities,2017,178200,93840,16320,7136,64532
Veolia Environnement,Utilities,2018,167508,92901.6,15340.8,7159,84397
Veolia Environnement,Utilities,2019,165832.92,90114.552,14727.168,7160,59995
Veolia Environnement,Utilities,2021,159199.6032,88312.26096,13548.99456,7183,148188
Veolia Environnement,Utilities,2022,156015.6111,81247.28008,12194.0951,7195,119950
Centrica,Utilities,2016,128000,86000,17000,7210,330806
Centrica,Utilities,2017,119040,78260,16660,7214,239540
Centrica,Utilities,2018,117849.6,74347,16160.2,7224,15591
Centrica,Utilities,2019,107243.136,66912.3,15513.792,7280,52611
Centrica,Utilities,2021,97591.25376,64904.931,14117.55072,7286,133644
Centrica,Utilities,2022,92711.69107,58414.4379,13552.84869,7320,60524
Eversource Energy,Utilities,2016,194000,46000,18000,7326,33097
Eversource Energy,Utilities,2017,176540,42780,16380,7329,24145
Eversource Energy,Utilities,2018,173009.2,41496.6,14905.8,7338,615042
Eversource Energy,Utilities,2019,167818.924,37346.94,14756.742,7372,108709
Eversource Energy,Utilities,2021,151037.0316,34732.6542,14461.60716,7398,48841
Eversource Energy,Utilities,2022,146505.9207,34038.00112,13304.67859,7428,73011
PPL Corporation,Utilities,2016,198000,132000,18000,7523,23717
PPL Corporation,Utilities,2017,196020,118800,16200,7524,54895
PPL Corporation,Utilities,2018,180338.4,108108,15228,7580,24507
PPL Corporation,Utilities,2019,169518.096,101621.52,15075.72,7625,86381
PPL Corporation,Utilities,2021,167822.915,94508.0136,13568.148,7659,290731
PPL Corporation,Utilities,2022,152718.8527,86002.29238,13296.78504,7694,13269
Entergy Corporation,Utilities,2016,103000,45000,17000,7726,5992
Entergy Corporation,Utilities,2017,96820,42750,16660,7731,58679
Entergy Corporation,Utilities,2018,94883.6,39330,15827,7769,70514
Entergy Corporation,Utilities,2019,93934.764,37756.8,14719.11,7838,173733
Entergy Corporation,Utilities,2021,92995.41636,33981.12,13247.199,7863,124977
Entergy Corporation,Utilities,2022,86485.73721,30583.008,12187.42308,7863,41089
JPMorgan Chase & Co.,Financial,2016,79566.87824,28442.19744,11578.05193,7865,390365
JPMorgan Chase & Co.,Financial,2017,49000,31000,10000,7887,29969
JPMorgan Chase & Co.,Financial,2018,44100,30690,9300,7902,89115
JPMorgan Chase & Co.,Financial,2019,40572,29155.5,8649,7921,9936
JPMorgan Chase & Co.,Financial,2021,38949.12,26823.06,8303.04,7924,61733
JPMorgan Chase & Co.,Financial,2022,38170.1376,26554.8294,8220.0096,7982,290318
Bank of America Corp.,Financial,2016,49000,19000,4000,7986,44659
Bank of America Corp.,Financial,2017,48020,18810,3720,8005,67887
Bank of America Corp.,Financial,2018,46579.4,16929,3608.4,8023,16448
Bank of America Corp.,Financial,2019,45647.812,15405.39,3464.064,8066,110122
Bank of America Corp.,Financial,2021,43365.4214,14943.2283,3117.6576,8094,42875
Bank of America Corp.,Financial,2022,39896.18769,13598.33775,3055.304448,8107,34566
Wells Fargo & Co.,Financial,2016,47000,27000,10000,8116,51803
Wells Fargo & Co.,Financial,2017,42770,24570,9500,8118,16401
Wells Fargo & Co.,Financial,2018,41914.6,23832.9,9025,8170,49519
Wells Fargo & Co.,Financial,2019,39818.87,21687.939,8303,8175,22825
Wells Fargo & Co.,Financial,2021,37827.9265,19952.90388,7638.76,8200,495426
Wells Fargo & Co.,Financial,2022,36693.08871,19753.37484,7180.4344,8201,19220
Goldman Sachs Group Inc.,Financial,2016,42000,30000,4000,8225,129944
Goldman Sachs Group Inc.,Financial,2017,37800,29400,3800,8234,11288
Goldman Sachs Group Inc.,Financial,2018,35532,28224,3610,8235,64549
Goldman Sachs Group Inc.,Financial,2019,33044.76,25401.6,3537.8,8237,28361
Goldman Sachs Group Inc.,Financial,2021,32053.4172,24385.536,3431.666,8342,58381
Goldman Sachs Group Inc.,Financial,2022,29168.60965,23897.82528,3157.13272,8345,21172
Morgan Stanley,Financial,2016,50000,20000,4000,8352,12971
Morgan Stanley,Financial,2017,48000,18800,3800,8359,101450
Morgan Stanley,Financial,2018,47040,17860,3420,8365,158838
Morgan Stanley,Financial,2019,42806.4,16967,3385.8,8382,34309
Morgan Stanley,Financial,2021,40238.016,16627.66,3216.51,8443,9132
Morgan Stanley,Financial,2022,37018.97472,15463.7238,2894.859,8469,32957
Berkshire Hathaway Inc.,Financial,2016,35000,27000,3000,8479,5903
Berkshire Hathaway Inc.,Financial,2017,31500,26730,2820,8489,16197
Berkshire Hathaway Inc.,Financial,2018,31185,25928.1,2650.8,8510,53369
Berkshire Hathaway Inc.,Financial,2019,28690.2,23853.852,2544.768,8527,11698
Berkshire Hathaway Inc.,Financial,2021,26968.788,21707.00532,2290.2912,8536,19575
Berkshire Hathaway Inc.,Financial,2022,25620.3486,20621.65505,2084.164992,8548,19737
"BlackRock, Inc.",Financial,2016,41000,15000,5000,8612,7181
"BlackRock, Inc.",Financial,2017,39770,13650,4550,8620,48887
"BlackRock, Inc.",Financial,2018,36986.1,13377,4186,8649,59707
"BlackRock, Inc.",Financial,2019,36246.378,12574.38,4018.56,8671,13943
"BlackRock, Inc.",Financial,2021,35883.91422,11694.1734,3656.8896,8681,72574
"BlackRock, Inc.",Financial,2022,32654.36194,11109.46473,3547.182912,8742,67493
"The Goldman Sachs Group, Inc.",Financial,2016,45000,23000,3000,8751,18345
"The Goldman Sachs Group, Inc.",Financial,2017,43650,22540,2760,8776,61627
"The Goldman Sachs Group, Inc.",Financial,2018,40594.5,20962.2,2677.2,8781,25895
"The Goldman Sachs Group, Inc.",Financial,2019,38564.775,19285.224,2570.112,8846,25377
"The Goldman Sachs Group, Inc.",Financial,2021,36250.8885,18513.81504,2441.6064,8878,64742
"The Goldman Sachs Group, Inc.",Financial,2022,32988.30854,17217.84799,2417.190336,8899,33471
"American International Group, Inc. (AIG)",Financial,2016,42000,28000,4000,8906,39286
"American International Group, Inc. (AIG)",Financial,2017,38220,25480,3960,8919,152768
"American International Group, Inc. (AIG)",Financial,2018,34398,24970.4,3682.8,8926,29360
"American International Group, Inc. (AIG)",Financial,2019,31302.18,23971.584,3609.144,8942,109330
"American International Group, Inc. (AIG)",Financial,2021,28798.0056,22773.0048,3356.50392,8992,61673
"American International Group, Inc. (AIG)",Financial,2022,27358.10532,22317.5447,3289.373842,9041,7591
"Prudential Financial, Inc.",Financial,2016,50000,17000,4000,9041,410295
"Prudential Financial, Inc.",Financial,2017,45000,15470,3640,9120,69396
"Prudential Financial, Inc.",Financial,2018,41400,15160.6,3421.6,9127,118700
"Prudential Financial, Inc.",Financial,2019,38916,13644.54,3318.952,9145,10543
"Prudential Financial, Inc.",Financial,2021,38526.84,13371.6492,3219.38344,9165,29574
"Prudential Financial, Inc.",Financial,2022,37756.3032,12836.78323,3154.995771,9172,47511
"MetLife, Inc.",Financial,2016,49000,19000,4000,9175,25051
"MetLife, Inc.",Financial,2017,47530,18050,3720,9273,9224
"MetLife, Inc.",Financial,2018,45153.5,16245,3385.2,9298,381508
"MetLife, Inc.",Financial,2019,42444.29,15432.75,3080.532,9304,70817
"MetLife, Inc.",Financial,2021,39897.6326,13889.475,2926.5054,9351,62082
"MetLife, Inc.",Financial,2022,38700.70362,13056.1065,2633.85486,9444,18881
Berkshire Hathaway Inc.,Financial,2016,38000,15000,10000,9452,14462
Berkshire Hathaway Inc.,Financial,2017,36480,14100,9000,9497,33976
Berkshire Hathaway Inc.,Financial,2018,32832,12831,8190,9526,14555
Berkshire Hathaway Inc.,Financial,2019,31190.4,12189.45,8108.1,9526,12681
Berkshire Hathaway Inc.,Financial,2021,28383.264,11823.7665,8027.019,9538,49271
Berkshire Hathaway Inc.,Financial,2022,26396.43552,10996.10285,7304.58729,9591,4654
Realty Income Corporation,Financial,2016,42000,17000,7000,9650,8565
Realty Income Corporation,Financial,2017,40320,16150,6930,9654,104826
Realty Income Corporation,Financial,2018,37497.6,15019.5,6514.2,9709,14646
Realty Income Corporation,Financial,2019,33747.84,14118.33,6188.49,9730,117691
Realty Income Corporation,Financial,2021,32735.4048,13271.2302,5631.5259,9740,18718
Realty Income Corporation,Financial,2022,29461.86432,12474.95639,5518.895382,9761,23351
"Simon Property Group, Inc.",Financial,2016,45000,19000,8000,9779,15283
"Simon Property Group, Inc.",Financial,2017,44550,18810,7680,9790,20497
"Simon Property Group, Inc.",Financial,2018,40095,17493.3,7296,9871,30157
"Simon Property Group, Inc.",Financial,2019,37288.35,15743.97,6785.28,9909,7999
"Simon Property Group, Inc.",Financial,2021,35796.816,15429.0906,6310.3104,9909,13673
"Simon Property Group, Inc.",Financial,2022,32217.1344,14349.05426,6057.897984,9971,20496
Public Storage,Financial,2016,45000,23000,8000,10007,7884
Public Storage,Financial,2017,43200,22310,7840,10072,51333
Public Storage,Financial,2018,41040,20525.2,7369.6,10074,15607
Public Storage,Financial,2019,40629.6,18677.932,7001.12,10076,12165
Public Storage,Financial,2021,39817.008,18304.37336,6861.0976,10083,13226
Public Storage,Financial,2022,39418.83792,16840.02349,6243.598816,10087,37125
Pfizer Inc.,"Consumer, Non-Cyclical",2016,78000,38000,11000,10150,51765
Pfizer Inc.,"Consumer, Non-Cyclical",2017,73320,37240,10340,10164,334761
Pfizer Inc.,"Consumer, Non-Cyclical",2018,65988,35005.6,9719.6,10168,85196
Pfizer Inc.,"Consumer, Non-Cyclical",2019,64668.24,31855.096,9330.816,10187,55126
Pfizer Inc.,"Consumer, Non-Cyclical",2021,60141.4632,30262.3412,8770.96704,10189,29236
Pfizer Inc.,"Consumer, Non-Cyclical",2022,57134.39004,29051.84755,8683.25737,10213,30111
Johnson & Johnson,"Consumer, Non-Cyclical",2016,56000,46000,10000,10221,6787
Johnson & Johnson,"Consumer, Non-Cyclical",2017,54880,41400,9000,10283,16204
Johnson & Johnson,"Consumer, Non-Cyclical",2018,52684.8,37674,8190,10292,31357
Johnson & Johnson,"Consumer, Non-Cyclical",2019,47416.32,36920.52,8108.1,10299,14128
Johnson & Johnson,"Consumer, Non-Cyclical",2021,46467.9936,35812.9044,8027.019,10305,103823
Johnson & Johnson,"Consumer, Non-Cyclical",2022,45538.63373,32947.87205,7384.85748,10333,26370
Novartis International AG,"Consumer, Non-Cyclical",2016,45083.24739,30641.521,7163.311756,10433,13679
Novartis International AG,"Consumer, Non-Cyclical",2017,54000,44000,9000,10454,13736
Novartis International AG,"Consumer, Non-Cyclical",2018,53460,43120,8460,10456,276088
Novartis International AG,"Consumer, Non-Cyclical",2019,50787,40964,8290.8,10465,9348
Novartis International AG,"Consumer, Non-Cyclical",2021,50279.13,38096.52,7793.352,10579,15034
Novartis International AG,"Consumer, Non-Cyclical",2022,47765.1735,34286.868,7559.55144,10647,75892
The Coca-Cola Company,"Consumer, Non-Cyclical",2016,77000,47000,11000,10735,9737
The Coca-Cola Company,"Consumer, Non-Cyclical",2017,75460,43240,10340,10800,11463
The Coca-Cola Company,"Consumer, Non-Cyclical",2018,73950.8,41942.8,9306,10850,27743
The Coca-Cola Company,"Consumer, Non-Cyclical",2019,68034.736,38587.376,8747.64,10879,4641
The Coca-Cola Company,"Consumer, Non-Cyclical",2021,63952.65184,35500.38592,8222.7816,10918,17708
The Coca-Cola Company,"Consumer, Non-Cyclical",2022,58836.43969,34080.37048,7811.64252,10974,21402
"PepsiCo, Inc.","Consumer, Non-Cyclical",2016,66000,33000,12000,11088,26783
"PepsiCo, Inc.","Consumer, Non-Cyclical",2017,60720,29700,10920,11094,82243
"PepsiCo, Inc.","Consumer, Non-Cyclical",2018,57076.8,26730,10046.4,11120,20869
"PepsiCo, Inc.","Consumer, Non-Cyclical",2019,55364.496,24324.3,9343.152,11144,30167
"PepsiCo, Inc.","Consumer, Non-Cyclical",2021,50381.69136,22864.842,8689.13136,11167,13156
"PepsiCo, Inc.","Consumer, Non-Cyclical",2022,46351.15605,21721.5999,8428.457419,11171,17185
Nestlé S.A.,"Consumer, Non-Cyclical",2016,59000,31000,9000,11251,473078
Nestlé S.A.,"Consumer, Non-Cyclical",2017,56050,29760,8280,11296,19024
Nestlé S.A.,"Consumer, Non-Cyclical",2018,55489.5,29462.4,7866,11362,168622
Nestlé S.A.,"Consumer, Non-Cyclical",2019,49940.55,27400.032,7236.72,11378,20597
Nestlé S.A.,"Consumer, Non-Cyclical",2021,49441.1445,25756.03008,6947.2512,11389,40809
Nestlé S.A.,"Consumer, Non-Cyclical",2022,46474.67583,24210.66828,6808.306176,11474,18018
Unilever PLC,"Consumer, Non-Cyclical",2016,80000,35000,13000,11486,27234
Unilever PLC,"Consumer, Non-Cyclical",2017,72000,31850,12610,11503,17577
Unilever PLC,"Consumer, Non-Cyclical",2018,71280,28983.5,12357.8,11529,76731
Unilever PLC,"Consumer, Non-Cyclical",2019,66290.4,27824.16,11739.91,11548,17578
Unilever PLC,"Consumer, Non-Cyclical",2021,59661.36,26154.7104,10683.3181,11555,41888
Unilever PLC,"Consumer, Non-Cyclical",2022,54291.8376,25631.61619,10149.1522,11618,31761
Kraft Heinz Company,"Consumer, Non-Cyclical",2016,78000,35000,7000,11665,15068
Kraft Heinz Company,"Consumer, Non-Cyclical",2017,74100,32200,6650,11785,17311
Kraft Heinz Company,"Consumer, Non-Cyclical",2018,73359,31556,6450.5,11809,113996
Kraft Heinz Company,"Consumer, Non-Cyclical",2019,68223.87,30609.32,6063.47,11847,8899
Kraft Heinz Company,"Consumer, Non-Cyclical",2021,63448.1991,28466.6676,6002.8353,11864,10357
Kraft Heinz Company,"Consumer, Non-Cyclical",2022,59006.82516,28182.00092,5882.778594,11937,42397
"Mondelez International, Inc.","Consumer, Non-Cyclical",2016,74000,49000,11000,11999,23199
"Mondelez International, Inc.","Consumer, Non-Cyclical",2017,68820,44590,10450,12029,15018
"Mondelez International, Inc.","Consumer, Non-Cyclical",2018,61938,40576.9,10032,12044,17564
"Mondelez International, Inc.","Consumer, Non-Cyclical",2019,58221.72,38548.055,9028.8,12067,79388
"Mondelez International, Inc.","Consumer, Non-Cyclical",2021,54728.4168,35849.69115,8577.36,12101,17305
"Mondelez International, Inc.","Consumer, Non-Cyclical",2022,53633.84846,34057.20659,8148.492,12112,1898
Danone S.A.,"Consumer, Non-Cyclical",2016,59000,47000,8000,12301,15609
Danone S.A.,"Consumer, Non-Cyclical",2017,57820,46530,7760,12347,74157
Danone S.A.,"Consumer, Non-Cyclical",2018,55507.2,45599.4,7294.4,12443,5270
Danone S.A.,"Consumer, Non-Cyclical",2019,52731.84,41039.46,6856.736,12506,245610
Danone S.A.,"Consumer, Non-Cyclical",2021,49567.9296,40218.6708,6308.19712,12574,151828
Danone S.A.,"Consumer, Non-Cyclical",2022,45602.49523,38609.92397,5740.459379,12593,2808
"Gilead Sciences, Inc.","Consumer, Non-Cyclical",2016,79000,49000,6000,12633,11608
"Gilead Sciences, Inc.","Consumer, Non-Cyclical",2017,75840,44590,5640,12669,10125
"Gilead Sciences, Inc.","Consumer, Non-Cyclical",2018,74323.2,41022.8,5301.6,12673,33876
"Gilead Sciences, Inc.","Consumer, Non-Cyclical",2019,69863.808,40612.572,5089.536,12808,38336
"Gilead Sciences, Inc.","Consumer, Non-Cyclical",2021,64973.34144,38988.06912,4733.26848,12856,33231
"Gilead Sciences, Inc.","Consumer, Non-Cyclical",2022,59775.47412,37428.54636,4543.937741,12900,6084
"Amgen, Inc.","Consumer, Non-Cyclical",2016,66000,47000,7000,12914,41882
"Amgen, Inc.","Consumer, Non-Cyclical",2017,64020,44650,6790,12937,31124
"Amgen, Inc.","Consumer, Non-Cyclical",2018,58258.2,43310.5,6382.6,13082,17457
"Amgen, Inc.","Consumer, Non-Cyclical",2019,54180.126,42011.185,6127.296,13103,58079
"Amgen, Inc.","Consumer, Non-Cyclical",2021,53096.52348,39490.5139,5820.9312,13131,12780
"Amgen, Inc.","Consumer, Non-Cyclical",2022,52034.59301,37515.98821,5588.093952,13191,65665
Anheuser-Busch InBev,"Consumer, Non-Cyclical",2016,75000,44000,6000,13209,64382
Anheuser-Busch InBev,"Consumer, Non-Cyclical",2017,73500,42680,5940,13210,35439
Anheuser-Busch InBev,"Consumer, Non-Cyclical",2018,71295,42253.2,5643,13329,8332
Anheuser-Busch InBev,"Consumer, Non-Cyclical",2019,70582.05,41830.668,5530.14,13458,2687
Anheuser-Busch InBev,"Consumer, Non-Cyclical",2021,69876.2295,39739.1346,4977.126,13477,21416
Anheuser-Busch InBev,"Consumer, Non-Cyclical",2022,63587.36885,38149.56922,4479.4134,13578,5570
Keurig Dr Pepper Inc.,"Consumer, Non-Cyclical",2016,66000,46000,10000,13630,6571
Keurig Dr Pepper Inc.,"Consumer, Non-Cyclical",2017,65340,41400,9400,13739,67013
Keurig Dr Pepper Inc.,"Consumer, Non-Cyclical",2018,61419.6,40158,8742,13846,38257
Keurig Dr Pepper Inc.,"Consumer, Non-Cyclical",2019,60805.404,39354.84,7867.8,13871,9896
Keurig Dr Pepper Inc.,"Consumer, Non-Cyclical",2021,58981.24188,38961.2916,7789.122,13888,171473
Keurig Dr Pepper Inc.,"Consumer, Non-Cyclical",2022,54262.74253,38182.06577,7010.2098,13989,26616
"General Mills, Inc.","Consumer, Non-Cyclical",2016,64000,38000,12000,14102,294005
"General Mills, Inc.","Consumer, Non-Cyclical",2017,62080,36100,11400,14109,15505
"General Mills, Inc.","Consumer, Non-Cyclical",2018,58355.2,32490,10944,14147,180644
"General Mills, Inc.","Consumer, Non-Cyclical",2019,56604.544,31840.2,10068.48,14175,18046
"General Mills, Inc.","Consumer, Non-Cyclical",2021,53208.27136,31521.798,9363.6864,14192,10976
"General Mills, Inc.","Consumer, Non-Cyclical",2022,51612.02322,29630.49012,8520.954624,14300,50448
Kellogg Company,"Consumer, Non-Cyclical",2016,76000,32000,9000,14320,28898
Kellogg Company,"Consumer, Non-Cyclical",2017,72200,29440,8460,14378,6005
Kellogg Company,"Consumer, Non-Cyclical",2018,67868,27968,7867.8,14383,17360
Kellogg Company,"Consumer, Non-Cyclical",2019,61759.88,27408.64,7710.444,14402,19509
Kellogg Company,"Consumer, Non-Cyclical",2021,58671.886,26038.208,7093.60848,14442,11668
Kellogg Company,"Consumer, Non-Cyclical",2022,56325.01056,25517.44384,6384.247632,14539,18193
Walmart Inc.,"Consumer, Cyclical",2016,67000,39000,7000,14608,37923
Walmart Inc.,"Consumer, Cyclical",2017,62310,36270,6720,14664,6917
Walmart Inc.,"Consumer, Cyclical",2018,59194.5,35544.6,6451.2,14745,20762
Walmart Inc.,"Consumer, Cyclical",2019,53275.05,32345.586,5999.616,14863,7989
Walmart Inc.,"Consumer, Cyclical",2021,49013.046,29111.0274,5399.6544,14884,33735
Walmart Inc.,"Consumer, Cyclical",2022,44601.87186,27073.25548,5345.657856,14906,49518
"Amazon.com, Inc.","Consumer, Cyclical",2016,50000,30000,9000,14931,9367
"Amazon.com, Inc.","Consumer, Cyclical",2017,48500,29700,8460,14954,23251
"Amazon.com, Inc.","Consumer, Cyclical",2018,47530,29106,7867.8,15066,8131
"Amazon.com, Inc.","Consumer, Cyclical",2019,45628.8,26195.4,7238.376,15146,17315
"Amazon.com, Inc.","Consumer, Cyclical",2021,41065.92,25933.446,6586.92216,15310,51724
"Amazon.com, Inc.","Consumer, Cyclical",2022,38601.9648,25414.77708,5994.099166,15455,42301
"The Home Depot, Inc.","Consumer, Cyclical",2016,68000,41000,10000,15464,18174
"The Home Depot, Inc.","Consumer, Cyclical",2017,67320,39360,9300,15524,30565
"The Home Depot, Inc.","Consumer, Cyclical",2018,64627.2,36211.2,9021,15561,7311
"The Home Depot, Inc.","Consumer, Cyclical",2019,59457.024,34400.64,8930.79,15693,28860
"The Home Depot, Inc.","Consumer, Cyclical",2021,58862.45376,33712.6272,8484.2505,16039,8276
"The Home Depot, Inc.","Consumer, Cyclical",2022,53564.83292,30678.49075,7975.19547,16222,50174
Target Corporation,"Consumer, Cyclical",2016,50886.59128,27610.64168,7337.179832,16227,4071
Target Corporation,"Consumer, Cyclical",2017,52000,41000,7000,16383,14631
Target Corporation,"Consumer, Cyclical",2018,49400,40590,6510,16569,83806
Target Corporation,"Consumer, Cyclical",2019,48906,37748.7,5989.2,16572,7151
Target Corporation,"Consumer, Cyclical",2021,47927.88,37371.213,5569.956,16648,22684
Target Corporation,"Consumer, Cyclical",2022,43135.092,36250.07661,5514.25644,16652,44189
Costco Wholesale Corp.,"Consumer, Cyclical",2016,63000,42000,7000,16783,5717
Costco Wholesale Corp.,"Consumer, Cyclical",2017,62370,41580,6440,16829,17752
Costco Wholesale Corp.,"Consumer, Cyclical",2018,58004.1,40332.6,5860.4,16865,10716
Costco Wholesale Corp.,"Consumer, Cyclical",2019,52203.69,37509.318,5743.192,16883,33648
Costco Wholesale Corp.,"Consumer, Cyclical",2021,46983.321,37134.22482,5628.32816,17098,77539
Costco Wholesale Corp.,"Consumer, Cyclical",2022,42284.9889,34906.17133,5065.495344,17129,9702
Ford Motor Company,"Consumer, Cyclical",2016,57000,37000,13000,17258,21812
Ford Motor Company,"Consumer, Cyclical",2017,51870,35150,12350,17290,10717
Ford Motor Company,"Consumer, Cyclical",2018,47720.4,32338,11485.5,17380,44291
Ford Motor Company,"Consumer, Cyclical",2019,47243.196,30397.72,10911.225,17450,15642
Ford Motor Company,"Consumer, Cyclical",2021,45825.90012,28269.8796,9929.21475,17487,47730
Ford Motor Company,"Consumer, Cyclical",2022,44451.12312,27704.48201,9532.04616,17593,15711
General Motors Company,"Consumer, Cyclical",2016,56000,30000,9000,17772,16649
General Motors Company,"Consumer, Cyclical",2017,52640,27000,8460,17817,27135
General Motors Company,"Consumer, Cyclical",2018,48955.2,25650,8375.4,17901,13387
General Motors Company,"Consumer, Cyclical",2019,46507.44,25137,8291.646,17983,13631
General Motors Company,"Consumer, Cyclical",2021,44647.1424,23628.78,7462.4814,18032,13148
General Motors Company,"Consumer, Cyclical",2022,40182.42816,23156.2044,7387.856586,18289,12531
Toyota Motor Corporation,"Consumer, Cyclical",2016,59000,42000,7000,18372,169369
Toyota Motor Corporation,"Consumer, Cyclical",2017,53690,41160,6440,18450,24627
Toyota Motor Corporation,"Consumer, Cyclical",2018,52616.2,37455.6,5989.2,18479,34108
Toyota Motor Corporation,"Consumer, Cyclical",2019,47354.58,35957.376,5929.308,19146,39974
Toyota Motor Corporation,"Consumer, Cyclical",2021,43566.2136,35597.80224,5395.67028,19204,35492
Toyota Motor Corporation,"Consumer, Cyclical",2022,42694.88933,32749.97806,5179.843469,19392,11249
Volkswagen Group,"Consumer, Cyclical",2016,51000,30000,11000,19461,12001
Volkswagen Group,"Consumer, Cyclical",2017,48960,29400,9900,19519,3643
Volkswagen Group,"Consumer, Cyclical",2018,46022.4,27930,8910,19744,249870
Volkswagen Group,"Consumer, Cyclical",2019,45101.952,25974.9,8197.2,19796,22214
Volkswagen Group,"Consumer, Cyclical",2021,44199.91296,25195.653,8033.256,19810,37474
Volkswagen Group,"Consumer, Cyclical",2022,41105.91905,23683.91382,7631.5932,19974,19317
