company_name,sector,year,s1,s2,s3,revenue__mil_$,production_volume_mil_units,type,services_provided,headquarters_location,net_zero_pledge_year,yearly_sum
Eversource Energy,Utilities,2021,151037.0316,34732.6542,14461.60716,7398,48841,Electric/Gas,"Electricity, Gas","Boston, MA, USA",2040,200231.29296
Eversource Energy,Utilities,2022,146505.9207,34038.00112,13304.67859,7428,73011,Electric/Gas,"Electricity, Gas","Boston, MA, USA",2040,193848.60040999998
PPL Corporation,Utilities,2016,198000.0,132000.0,18000.0,7523,23717,Electric/Gas,"Electricity, Gas","Allentown, PA, USA",2030,348000.0
PPL Corporation,Utilities,2017,196020.0,118800.0,16200.0,7524,54895,Electric/Gas,"Electricity, Gas","Allentown, PA, USA",2030,331020.0
PPL Corporation,Utilities,2018,180338.4,108108.0,15228.0,7580,24507,Electric/Gas,"Electricity, Gas","Allentown, PA, USA",2030,303674.4
PPL Corporation,Utilities,2019,169518.096,101621.52,15075.72,7625,86381,Electric/Gas,"Electricity, Gas","Allentown, PA, USA",2030,286215.33599999995
PPL Corporation,Utilities,2021,167822.915,94508.0136,13568.148,7659,290731,Electric/Gas,"Electricity, Gas","Allentown, PA, USA",2030,275899.0766
PPL Corporation,Utilities,2022,152718.8527,86002.29238,13296.78504,7694,13269,Electric/Gas,"Electricity, Gas","Allentown, PA, USA",2030,252017.93011999998
Entergy Corporation,Utilities,2016,103000.0,45000.0,17000.0,7726,5992,Electric,Electricity,"New Orleans, LA, USA",2050,165000.0
Entergy Corporation,Utilities,2017,96820.0,42750.0,16660.0,7731,58679,Electric,Electricity,"New Orleans, LA, USA",2050,156230.0
Entergy Corporation,Utilities,2018,94883.6,39330.0,15827.0,7769,70514,Electric,Electricity,"New Orleans, LA, USA",2050,150040.6
Entergy Corporation,Utilities,2019,93934.764,37756.8,14719.11,7838,173733,Electric,Electricity,"New Orleans, LA, USA",2050,146410.674
Entergy Corporation,Utilities,2021,92995.41636,33981.12,13247.199,7863,124977,Electric,Electricity,"New Orleans, LA, USA",2050,140223.73536
Entergy Corporation,Utilities,2022,86485.73721,30583.008,12187.42308,7863,41089,Electric,Electricity,"New Orleans, LA, USA",2050,129256.16829
JPMorgan Chase & Co.,Financial,2016,79566.87824,28442.19744,11578.05193,7865,390365,Bank,"Banking, Investment, Insurance","New York, NY, USA",2050,119587.12761000001
JPMorgan Chase & Co.,Financial,2017,49000.0,31000.0,10000.0,7887,29969,Bank,"Banking, Investment, Insurance","New York, NY, USA",2050,90000.0
JPMorgan Chase & Co.,Financial,2018,44100.0,30690.0,9300.0,7902,89115,Bank,"Banking, Investment, Insurance","New York, NY, USA",2050,84090.0
JPMorgan Chase & Co.,Financial,2019,40572.0,29155.5,8649.0,7921,9936,Bank,"Banking, Investment, Insurance","New York, NY, USA",2050,78376.5
JPMorgan Chase & Co.,Financial,2021,38949.12,26823.06,8303.04,7924,61733,Bank,"Banking, Investment, Insurance","New York, NY, USA",2050,74075.22
JPMorgan Chase & Co.,Financial,2022,38170.1376,26554.8294,8220.0096,7982,290318,Bank,"Banking, Investment, Insurance","New York, NY, USA",2050,72944.97660000001
Bank of America Corp.,Financial,2016,49000.0,19000.0,4000.0,7986,44659,Bank,"Banking, Investment, Insurance","Charlotte, NC, USA",2050,72000.0
Bank of America Corp.,Financial,2017,48020.0,18810.0,3720.0,8005,67887,Bank,"Banking, Investment, Insurance","Charlotte, NC, USA",2050,70550.0
Bank of America Corp.,Financial,2018,46579.4,16929.0,3608.4,8023,16448,Bank,"Banking, Investment, Insurance","Charlotte, NC, USA",2050,67116.8
Bank of America Corp.,Financial,2019,45647.812,15405.39,3464.064,8066,110122,Bank,"Banking, Investment, Insurance","Charlotte, NC, USA",2050,64517.265999999996
Bank of America Corp.,Financial,2021,43365.4214,14943.2283,3117.6576,8094,42875,Bank,"Banking, Investment, Insurance","Charlotte, NC, USA",2050,61426.3073
Bank of America Corp.,Financial,2022,39896.18769,13598.33775,3055.304448,8107,34566,Bank,"Banking, Investment, Insurance","Charlotte, NC, USA",2050,56549.829888
Wells Fargo & Co.,Financial,2016,47000.0,27000.0,10000.0,8116,51803,Bank,"Banking, Investment, Insurance","San Francisco, CA, USA",2030,84000.0
Wells Fargo & Co.,Financial,2017,42770.0,24570.0,9500.0,8118,16401,Bank,"Banking, Investment, Insurance","San Francisco, CA, USA",2030,76840.0
Wells Fargo & Co.,Financial,2018,41914.6,23832.9,9025.0,8170,49519,Bank,"Banking, Investment, Insurance","San Francisco, CA, USA",2030,74772.5
Wells Fargo & Co.,Financial,2019,39818.87,21687.939,8303.0,8175,22825,Bank,"Banking, Investment, Insurance","San Francisco, CA, USA",2030,69809.80900000001
Wells Fargo & Co.,Financial,2021,37827.9265,19952.90388,7638.76,8200,495426,Bank,"Banking, Investment, Insurance","San Francisco, CA, USA",2030,65419.59038
Wells Fargo & Co.,Financial,2022,36693.08871,19753.37484,7180.4344,8201,19220,Bank,"Banking, Investment, Insurance","San Francisco, CA, USA",2030,63626.89795
Goldman Sachs Group Inc.,Financial,2016,42000.0,30000.0,4000.0,8225,129944,Bank,"Investment Banking, Securities","New York, NY, USA",2050,76000.0
Goldman Sachs Group Inc.,Financial,2017,37800.0,29400.0,3800.0,8234,11288,Bank,"Investment Banking, Securities","New York, NY, USA",2050,71000.0
Goldman Sachs Group Inc.,Financial,2018,35532.0,28224.0,3610.0,8235,64549,Bank,"Investment Banking, Securities","New York, NY, USA",2050,67366.0
Goldman Sachs Group Inc.,Financial,2019,33044.76,25401.6,3537.8,8237,28361,Bank,"Investment Banking, Securities","New York, NY, USA",2050,61984.16
Goldman Sachs Group Inc.,Financial,2021,32053.4172,24385.536,3431.666,8342,58381,Bank,"Investment Banking, Securities","New York, NY, USA",2050,59870.6192
Goldman Sachs Group Inc.,Financial,2022,29168.60965,23897.82528,3157.13272,8345,21172,Bank,"Investment Banking, Securities","New York, NY, USA",2050,56223.567650000005
Morgan Stanley,Financial,2016,50000.0,20000.0,4000.0,8352,12971,Bank,"Investment Banking, Securities","New York, NY, USA",2050,74000.0
Morgan Stanley,Financial,2017,48000.0,18800.0,3800.0,8359,101450,Bank,"Investment Banking, Securities","New York, NY, USA",2050,70600.0
Morgan Stanley,Financial,2018,47040.0,17860.0,3420.0,8365,158838,Bank,"Investment Banking, Securities","New York, NY, USA",2050,68320.0
Morgan Stanley,Financial,2019,42806.4,16967.0,3385.8,8382,34309,Bank,"Investment Banking, Securities","New York, NY, USA",2050,63159.200000000004
Morgan Stanley,Financial,2021,40238.016,16627.66,3216.51,8443,9132,Bank,"Investment Banking, Securities","New York, NY, USA",2050,60082.18600000001
Morgan Stanley,Financial,2022,37018.97472,15463.7238,2894.859,8469,32957,Bank,"Investment Banking, Securities","New York, NY, USA",2050,55377.557519999995
Berkshire Hathaway Inc.,Financial,2016,35000.0,27000.0,3000.0,8479,5903,Diversified Financial,"Insurance, Investments, and more","Omaha, NE, USA",2030,65000.0
Berkshire Hathaway Inc.,Financial,2016,35000.0,27000.0,3000.0,8479,5903,Insurance,Insurance,"Omaha, NE, USA",2040,65000.0
Berkshire Hathaway Inc.,Financial,2017,31500.0,26730.0,2820.0,8489,16197,Diversified Financial,"Insurance, Investments, and more","Omaha, NE, USA",2030,61050.0
Berkshire Hathaway Inc.,Financial,2017,31500.0,26730.0,2820.0,8489,16197,Insurance,Insurance,"Omaha, NE, USA",2040,61050.0
Berkshire Hathaway Inc.,Financial,2018,31185.0,25928.1,2650.8,8510,53369,Diversified Financial,"Insurance, Investments, and more","Omaha, NE, USA",2030,59763.9
Berkshire Hathaway Inc.,Financial,2018,31185.0,25928.1,2650.8,8510,53369,Insurance,Insurance,"Omaha, NE, USA",2040,59763.9
Berkshire Hathaway Inc.,Financial,2019,28690.2,23853.852,2544.768,8527,11698,Diversified Financial,"Insurance, Investments, and more","Omaha, NE, USA",2030,55088.81999999999
Berkshire Hathaway Inc.,Financial,2019,28690.2,23853.852,2544.768,8527,11698,Insurance,Insurance,"Omaha, NE, USA",2040,55088.81999999999
Berkshire Hathaway Inc.,Financial,2021,26968.788,21707.00532,2290.2912,8536,19575,Diversified Financial,"Insurance, Investments, and more","Omaha, NE, USA",2030,50966.08452
Berkshire Hathaway Inc.,Financial,2021,26968.788,21707.00532,2290.2912,8536,19575,Insurance,Insurance,"Omaha, NE, USA",2040,50966.08452
Berkshire Hathaway Inc.,Financial,2022,25620.3486,20621.65505,2084.164992,8548,19737,Diversified Financial,"Insurance, Investments, and more","Omaha, NE, USA",2030,48326.168642
Berkshire Hathaway Inc.,Financial,2022,25620.3486,20621.65505,2084.164992,8548,19737,Insurance,Insurance,"Omaha, NE, USA",2040,48326.168642
"BlackRock, Inc.",Financial,2016,41000.0,15000.0,5000.0,8612,7181,Diversified Financial,Investment Management,"New York, NY, USA",2040,61000.0
"BlackRock, Inc.",Financial,2017,39770.0,13650.0,4550.0,8620,48887,Diversified Financial,Investment Management,"New York, NY, USA",2040,57970.0
"BlackRock, Inc.",Financial,2018,36986.1,13377.0,4186.0,8649,59707,Diversified Financial,Investment Management,"New York, NY, USA",2040,54549.1
"BlackRock, Inc.",Financial,2019,36246.378,12574.38,4018.56,8671,13943,Diversified Financial,Investment Management,"New York, NY, USA",2040,52839.31799999999
"BlackRock, Inc.",Financial,2021,35883.91422,11694.1734,3656.8896,8681,72574,Diversified Financial,Investment Management,"New York, NY, USA",2040,51234.97722
"BlackRock, Inc.",Financial,2022,32654.36194,11109.46473,3547.182912,8742,67493,Diversified Financial,Investment Management,"New York, NY, USA",2040,47311.009582
"The Goldman Sachs Group, Inc.",Financial,2016,45000.0,23000.0,3000.0,8751,18345,Diversified Financial,"Investment Banking, Securities","New York, NY, USA",2040,71000.0
"The Goldman Sachs Group, Inc.",Financial,2017,43650.0,22540.0,2760.0,8776,61627,Diversified Financial,"Investment Banking, Securities","New York, NY, USA",2040,68950.0
"The Goldman Sachs Group, Inc.",Financial,2018,40594.5,20962.2,2677.2,8781,25895,Diversified Financial,"Investment Banking, Securities","New York, NY, USA",2040,64233.899999999994
"The Goldman Sachs Group, Inc.",Financial,2019,38564.775,19285.224,2570.112,8846,25377,Diversified Financial,"Investment Banking, Securities","New York, NY, USA",2040,60420.111
"The Goldman Sachs Group, Inc.",Financial,2021,36250.8885,18513.81504,2441.6064,8878,64742,Diversified Financial,"Investment Banking, Securities","New York, NY, USA",2040,57206.30994
"The Goldman Sachs Group, Inc.",Financial,2022,32988.30854,17217.84799,2417.190336,8899,33471,Diversified Financial,"Investment Banking, Securities","New York, NY, USA",2040,52623.34686599999
"American International Group, Inc. (AIG)",Financial,2016,42000.0,28000.0,4000.0,8906,39286,Insurance,"Insurance, Retirement, Investments","New York, NY, USA",2030,74000.0
"American International Group, Inc. (AIG)",Financial,2017,38220.0,25480.0,3960.0,8919,152768,Insurance,"Insurance, Retirement, Investments","New York, NY, USA",2030,67660.0
"American International Group, Inc. (AIG)",Financial,2018,34398.0,24970.4,3682.8,8926,29360,Insurance,"Insurance, Retirement, Investments","New York, NY, USA",2030,63051.200000000004
"American International Group, Inc. (AIG)",Financial,2019,31302.18,23971.584,3609.144,8942,109330,Insurance,"Insurance, Retirement, Investments","New York, NY, USA",2030,58882.907999999996
"American International Group, Inc. (AIG)",Financial,2021,28798.0056,22773.0048,3356.50392,8992,61673,Insurance,"Insurance, Retirement, Investments","New York, NY, USA",2030,54927.51432
"American International Group, Inc. (AIG)",Financial,2022,27358.10532,22317.5447,3289.373842,9041,7591,Insurance,"Insurance, Retirement, Investments","New York, NY, USA",2030,52965.023862
"Prudential Financial, Inc.",Financial,2016,50000.0,17000.0,4000.0,9041,410295,Insurance,"Insurance, Retirement, Investments","Newark, NJ, USA",2050,71000.0
"Prudential Financial, Inc.",Financial,2017,45000.0,15470.0,3640.0,9120,69396,Insurance,"Insurance, Retirement, Investments","Newark, NJ, USA",2050,64110.0
"Prudential Financial, Inc.",Financial,2018,41400.0,15160.6,3421.6,9127,118700,Insurance,"Insurance, Retirement, Investments","Newark, NJ, USA",2050,59982.2
"Prudential Financial, Inc.",Financial,2019,38916.0,13644.54,3318.952,9145,10543,Insurance,"Insurance, Retirement, Investments","Newark, NJ, USA",2050,55879.492
"Prudential Financial, Inc.",Financial,2021,38526.84,13371.6492,3219.38344,9165,29574,Insurance,"Insurance, Retirement, Investments","Newark, NJ, USA",2050,55117.872639999994
"Prudential Financial, Inc.",Financial,2022,37756.3032,12836.78323,3154.995771,9172,47511,Insurance,"Insurance, Retirement, Investments","Newark, NJ, USA",2050,53748.082201000005
"MetLife, Inc.",Financial,2016,49000.0,19000.0,4000.0,9175,25051,Insurance,"Insurance, Retirement, Investments","New York, NY, USA",2040,72000.0
"MetLife, Inc.",Financial,2017,47530.0,18050.0,3720.0,9273,9224,Insurance,"Insurance, Retirement, Investments","New York, NY, USA",2040,69300.0
"MetLife, Inc.",Financial,2018,45153.5,16245.0,3385.2,9298,381508,Insurance,"Insurance, Retirement, Investments","New York, NY, USA",2040,64783.7
"MetLife, Inc.",Financial,2019,42444.29,15432.75,3080.532,9304,70817,Insurance,"Insurance, Retirement, Investments","New York, NY, USA",2040,60957.572
"MetLife, Inc.",Financial,2021,39897.6326,13889.475,2926.5054,9351,62082,Insurance,"Insurance, Retirement, Investments","New York, NY, USA",2040,56713.613
"MetLife, Inc.",Financial,2022,38700.70362,13056.1065,2633.85486,9444,18881,Insurance,"Insurance, Retirement, Investments","New York, NY, USA",2040,54390.66498
Berkshire Hathaway Inc.,Financial,2016,38000.0,15000.0,10000.0,9452,14462,Diversified Financial,"Insurance, Investments, and more","Omaha, NE, USA",2030,63000.0
Berkshire Hathaway Inc.,Financial,2016,38000.0,15000.0,10000.0,9452,14462,Insurance,Insurance,"Omaha, NE, USA",2040,63000.0
Berkshire Hathaway Inc.,Financial,2017,36480.0,14100.0,9000.0,9497,33976,Diversified Financial,"Insurance, Investments, and more","Omaha, NE, USA",2030,59580.0
Berkshire Hathaway Inc.,Financial,2017,36480.0,14100.0,9000.0,9497,33976,Insurance,Insurance,"Omaha, NE, USA",2040,59580.0
Berkshire Hathaway Inc.,Financial,2018,32832.0,12831.0,8190.0,9526,14555,Diversified Financial,"Insurance, Investments, and more","Omaha, NE, USA",2030,53853.0
Berkshire Hathaway Inc.,Financial,2018,32832.0,12831.0,8190.0,9526,14555,Insurance,Insurance,"Omaha, NE, USA",2040,53853.0
Berkshire Hathaway Inc.,Financial,2019,31190.4,12189.45,8108.1,9526,12681,Diversified Financial,"Insurance, Investments, and more","Omaha, NE, USA",2030,51487.950000000004
Berkshire Hathaway Inc.,Financial,2019,31190.4,12189.45,8108.1,9526,12681,Insurance,Insurance,"Omaha, NE, USA",2040,51487.950000000004
Berkshire Hathaway Inc.,Financial,2021,28383.264,11823.7665,8027.019,9538,49271,Diversified Financial,"Insurance, Investments, and more","Omaha, NE, USA",2030,48234.0495
Berkshire Hathaway Inc.,Financial,2021,28383.264,11823.7665,8027.019,9538,49271,Insurance,Insurance,"Omaha, NE, USA",2040,48234.0495
Berkshire Hathaway Inc.,Financial,2022,26396.43552,10996.10285,7304.58729,9591,4654,Diversified Financial,"Insurance, Investments, and more","Omaha, NE, USA",2030,44697.12566
Berkshire Hathaway Inc.,Financial,2022,26396.43552,10996.10285,7304.58729,9591,4654,Insurance,Insurance,"Omaha, NE, USA",2040,44697.12566
Realty Income Corporation,Financial,2016,42000.0,17000.0,7000.0,9650,8565,REIT,Real Estate Investment Trust,"San Diego, CA, USA",2030,66000.0
Realty Income Corporation,Financial,2017,40320.0,16150.0,6930.0,9654,104826,REIT,Real Estate Investment Trust,"San Diego, CA, USA",2030,63400.0
