Name,Loan,Value,ZIP Code,LTV 2020,LTV 2025,LTV 2030,LTV 2035,LTV 2040,LTV 2045,LTV 2050,PTI,Credit History,Borrower,PD,latitude,longitude,flood_risk
Saint Fidelis School,1198,300000,60622,0.003993333,0.003594,0.0028752,0.003194667,0.002236267,0.00201264,0.001610112,0.2237,Positive,Corporate,0,41.90117564,-87.67483194,9.3
Second Chance Tutoring,1216,170000,60649,0.007152941,0.006437647,0.005150118,0.005722353,0.004005647,0.003605082,0.002884066,0.2024,Negative,Corporate,1,41.76154208,-87.57169859,8.7
Morse Fresh Market,993,223900,60626,0.004435016,0.003991514,0.003193211,0.003548013,0.002483609,0.002235248,0.001788198,0.2172,Was Negative,Corporate,1,42.01280652,-87.66824049,8.6
Consulate General of India,2133,559600,60611,0.003811651,0.003430486,0.002744389,0.003049321,0.002134525,0.001921072,0.001536858,0.1246,Positive,Corporate,0,41.89510214,-87.62269905,9.6
Belmont Harbor Inner Light,1336,330100,60657,0.004047258,0.003642533,0.002914026,0.003237807,0.002266465,0.002039818,0.001631855,0.1176,Negative,Corporate,1,41.93938564,-87.65553936,9.2
Logan Square Auditorium,1602,334100,60647,0.004794972,0.004315474,0.00345238,0.003835977,0.002685184,0.002416666,0.001933333,0.118,Was Negative,Corporate,1,41.91932568,-87.69874764,9.3
The Gift Theatre,1174,223200,60630,0.005259857,0.004733871,0.003787097,0.004207885,0.00294552,0.002650968,0.002120774,0.1225,Positive,Corporate,1,41.96586157,-87.76181894,8.9
Archer Heights Veterans Monument,966,206000,60632,0.00468932,0.004220388,0.003376311,0.003751456,0.002626019,0.002363417,0.001890734,0.1143,Negative,Corporate,1,41.81108223,-87.70406463,9.9
Food 4 Less,933,165900,60639,0.00562387,0.005061483,0.004049186,0.004499096,0.003149367,0.00283443,0.002267544,0.1937,Positive,Corporate,1,41.9193211,-87.75473166,9.2
Norwood Park Water Fountain,1280,404500,60631,0.0031644,0.00284796,0.002278368,0.00253152,0.001772064,0.001594858,0.001275886,0.1383,Was Negative,Corporate,0,41.9976507,-87.81510488,9
M & H Market,902,159200,60619,0.005665829,0.005099246,0.004079397,0.004532663,0.003172864,0.002855578,0.002284462,0.1369,Positive,Corporate,1,41.73667185,-87.60065458,9.5
La Jerezana,795,255400,60617,0.003112764,0.002801488,0.00224119,0.002490211,0.001743148,0.001568833,0.001255067,0.1927,Negative,Corporate,0,41.72052639,-87.5554346,9.7
BUILD,987,101700,60644,0.009705015,0.008734513,0.006987611,0.007764012,0.005434808,0.004891327,0.003913062,0.1357,Was Negative,Corporate,1,41.87584009,-87.76385697,9.4
The Guesthouse Hotel,1241,437900,60640,0.00283398,0.002550582,0.002040466,0.002267184,0.001587029,0.001428326,0.001142661,0.1076,Positive,Corporate,0,41.97213473,-87.66414019,8.5
Go Green Community Fresh Market,796,88400,60636,0.009004525,0.008104072,0.006483258,0.00720362,0.005042534,0.004538281,0.003630624,0.1273,Negative,Corporate,1,41.7762839,-87.66234417,9.7
Ton Farm Underground Railroad Site,365,53800,60827,0.006784387,0.006105948,0.004884758,0.005427509,0.003799257,0.003419331,0.002735465,0.1061,Was Negative,Corporate,1,41.65895984,-87.63941193,9.3
Promontory Point Marker,1141,273600,60615,0.004170322,0.003753289,0.003002632,0.003336257,0.00233538,0.002101842,0.001681474,0.2219,Positive,Corporate,1,41.80147448,-87.59538698,8.7
The Chicago Tool Library,1116,116400,60624,0.009587629,0.008628866,0.006903093,0.007670103,0.005369072,0.004832165,0.003865732,0.2135,Negative,Corporate,1,41.87826542,-87.72060998,9.4
Santa Lucia School,899,211200,60616,0.004256629,0.003830966,0.003064773,0.003405303,0.002383712,0.002145341,0.001716273,0.2128,Positive,Corporate,1,41.84695703,-87.63221033,9.2
Independence Branch Library,1062,325200,60618,0.003265683,0.002939114,0.002351292,0.002612546,0.001828782,0.001645904,0.001316723,0.2192,Was Negative,Corporate,0,41.94481138,-87.70092721,9
Polish Museum of America,1743,575000,60610,0.003031304,0.002728174,0.002182539,0.002425043,0.00169753,0.001527777,0.001222222,0.1478,Positive,Corporate,0,41.90445978,-87.63590324,9.3
Chicago Children's Theatre,1995,407200,60607,0.004899312,0.004409381,0.003527505,0.00391945,0.002743615,0.002469253,0.001975403,0.1094,Negative,Corporate,1,41.87688138,-87.65119873,9.2
Saint Benedict School,646,142600,60621,0.004530154,0.004077139,0.003261711,0.003624123,0.002536886,0.002283198,0.001826558,0.2224,Was Negative,Corporate,1,41.77809307,-87.63787529,9.5
Christ the King Lutheran School,925,391300,60653,0.002363915,0.002127524,0.001702019,0.001891132,0.001323792,0.001191413,0.000953131,0.1064,Positive,Corporate,0,41.81821176,-87.61000728,9.5
Mercy Hall,1205,258000,60655,0.004670543,0.004203488,0.003362791,0.003736434,0.002615504,0.002353953,0.001883163,0.1373,Negative,Corporate,1,41.69532253,-87.69890933,9
Choi Karate Institute,1080,269700,60641,0.004004449,0.003604004,0.002883204,0.00320356,0.002242492,0.002018242,0.001614594,0.2165,Was Negative,Corporate,1,41.94642455,-87.74210131,9
Peiraikon Hellenic School,1367,391300,60659,0.003493483,0.003144135,0.002515308,0.002794787,0.001956351,0.001760716,0.001408572,0.1976,Positive,Corporate,0,41.9873254,-87.70596956,8.8
7th Day Adventist North Shore School,1347,360100,60625,0.003740628,0.003366565,0.002693252,0.002992502,0.002094751,0.001885276,0.001508221,0.1193,Negative,Corporate,0,41.96711132,-87.70046647,8.7
ALDI,1019,168100,60660,0.006061868,0.005455681,0.004364545,0.004849494,0.003394646,0.003055181,0.002444145,0.1186,Positive,Corporate,1,41.99171725,-87.66529839,8.5
Whole Foods Market,2031,463900,60646,0.004378099,0.003940289,0.003152231,0.003502479,0.002451735,0.002206562,0.001765249,0.2009,Was Negative,Corporate,1,41.99963119,-87.76483611,8.8
Chicago-Kent College of Law,1812,336100,60606,0.005391253,0.004852127,0.003881702,0.004313002,0.003019101,0.002717191,0.002173753,0.1275,Positive,Corporate,1,41.88280133,-87.6363551,9.6
Consulate of North Macedonia,1949,339700,60601,0.005737415,0.005163674,0.004130939,0.004589932,0.003212953,0.002891657,0.002313326,0.1107,Negative,Corporate,1,41.83847115,-87.80685671,9.7
Studebaker Theater,2314,669100,60602,0.003458377,0.003112539,0.002490031,0.002766702,0.001936691,0.001743022,0.001394418,0.1288,Was Negative,Corporate,0,41.8830161,-87.62906936,9.7
St. Luke's Hospital,1821,391800,60605,0.004647779,0.004183002,0.003346401,0.003718224,0.002602757,0.002342481,0.001873985,0.2071,Positive,Corporate,1,41.87024505,-87.62695851,8.6
Duke and Duchess Pre-School,1940,484300,60613,0.004005782,0.003605203,0.002884163,0.003204625,0.002243238,0.002018914,0.001615131,0.1188,Negative,Corporate,1,41.95268143,-87.65899131,8.7
Erie Neighborhood House,1252,367200,60642,0.003409586,0.003068627,0.002454902,0.002727669,0.001909368,0.001718431,0.001374745,0.1224,Was Negative,Corporate,0,41.90152213,-87.65766853,9.1
D'Angelo Law Library,949,235000,60637,0.004038298,0.003634468,0.002907574,0.003230638,0.002261447,0.002035302,0.001628242,0.1482,Positive,Corporate,1,41.78697537,-87.59729435,9.2
